text,font_size,bold,italic,x0,y0,x1,y1,page
ADDRESS:,12.401399612426758,0,0,32.648799896240234,444.2804260253906,104.44306945800781,461.3222961425781,0
TOPJUMP,12.413744926452637,0,0,131.43539428710938,458.4438171386719,198.60169982910156,475.4856872558594,0
3735,12.401350021362305,0,0,114.80590057373047,472.3673400878906,145.9735107421875,489.4092102050781,0
PARKWAY,12.401350021362305,1,0,146.84646606445312,472.4293518066406,215.21786499023438,489.5084228515625,0
"PIGEON FORGE, TN 37863",12.401350021362305,0,0,81.07898712158203,486.2960205078125,249.18655395507812,503.337890625,0
(NEAR DIXIE STAMPEDE,9.401000022888184,0,0,58.387901306152344,500.79937744140625,177.05349731445312,513.7181396484375,0
ON,9.380173683166504,0,0,177.4636993408203,500.79937744140625,193.44732666015625,513.7181396484375,0
THE PARKWAY),9.401000022888184,0,0,194.81309509277344,500.79937744140625,270.6555480957031,513.7181396484375,0
RSVP:,12.401350021362305,1,0,29.48900032043457,523.3318481445312,71.26945495605469,540.410888671875,0
----------------,26.66584587097168,0,0,71.7874984741211,523.5723266601562,296.8285217285156,549.1915283203125,0
CLOSED TOED SHOES,7.20074987411499,0,0,62.29779815673828,555.747802734375,147.5890350341797,565.64306640625,0
ARE,7.2201762199401855,0,0,147.60479736328125,555.747802734375,165.58547973632812,565.64306640625,0
REQUIRED FOR CLIMBING,7.20074987411499,0,0,166.1540985107422,555.747802734375,266.2198486328125,565.64306640625,0
PARENTS,7.20074987411499,0,0,59.60572814941406,571.8294677734375,97.16368103027344,581.7247314453125,0
OR,7.229546546936035,0,0,97.33660125732422,571.8318481445312,110.96599578857422,581.7271118164062,0
"GUARDIANS NOT ATTENDING THE PARTY,",7.20074987411499,0,0,111.006103515625,571.8318481445312,268.70831298828125,581.7271118164062,0
PLEASE VISIT,7.20074987411499,0,0,65.11520385742188,581.1941528320312,119.01214599609375,591.0894165039062,0
TOPJUMP.COM,7.427609920501709,1,0,118.99579620361328,581.2301635742188,182.3711395263672,591.1470336914062,0
TO,7.20074987411499,0,0,182.58349609375,581.1941528320312,194.48171997070312,591.0894165039062,0
FILL,7.239352226257324,0,0,195.423095703125,581.1941528320312,213.46304321289062,591.0894165039062,0
OUT,7.20074987411499,0,0,213.49249267578125,581.1941528320312,231.6170196533203,591.0894165039062,0
WAIVER,7.215287208557129,0,0,231.33180236816406,581.1941528320312,264.02764892578125,591.0894165039062,0
SO YOUR CHILD CAN ATTEND.,7.20074987411499,0,0,106.7061996459961,590.0763549804688,221.58604431152344,599.9716186523438,0
HOPE,22.700607299804688,1,0,33.418800354003906,598.6004028320312,91.41678619384766,634.962158203125,0
To,26.402799606323242,1,0,94.38670349121094,598.6004028320312,132.11102294921875,634.962158203125,0
SEE,22.501575469970703,1,0,130.59539794921875,598.6004028320312,172.27987670898438,634.962158203125,0
Y,26.402799606323242,1,0,175.45379638671875,598.6004028320312,193.06199645996094,634.962158203125,0
ou,24.490650177001953,1,0,192.2032012939453,598.6004028320312,224.68392944335938,634.962158203125,0
T,26.402799606323242,1,0,226.6219940185547,598.6004028320312,242.75184631347656,634.962158203125,0
HERE,22.024700164794922,1,0,240.79150390625,598.6004028320312,289.8945007324219,634.962158203125,0
!,26.402799606323242,1,0,290.63970947265625,598.6004028320312,306.7695617675781,634.962158203125,0
WWW.TOPJUMP.COM,18.025842666625977,0,0,93.78669738769531,624.4996948242188,236.11007690429688,656.6593017578125,0
