text,font_size,bold,italic,x0,y0,x1,y1,page
TPLP,6.973800182342529,0,0,58.35900115966797,30.804622650146484,80.38923645019531,37.77842330932617,0
: Page 1–42.,6.973800182342529,0,0,81.0790023803711,30.804622650146484,123.48670196533203,37.77842330932617,0
©,6.973800182342529,0,0,131.41200256347656,29.465652465820312,140.1013641357422,38.2665901184082,0
doi:10.1017/XYZ,6.973800182342529,0,0,59.64599609375,41.763607025146484,119.18831634521484,48.73740768432617,0
1,9.962599754333496,0,0,437.2300109863281,28.91202163696289,442.2113037109375,38.8746223449707,0
Towards Constraint Temporal Answer Set Programming,17.21540069580078,0,0,56.995025634765625,76.07440948486328,468.75286865234375,93.3070297241211,0
PEDRO CABALAR,9.962599754333496,0,0,206.16603088378906,110.59903717041016,295.6999206542969,120.56163024902344,0
"University of Corunna, Spain",7.970099925994873,0,0,194.99203491210938,122.05538177490234,305.4416198730469,130.02548217773438,0
MART,9.962599754333496,0,0,205.509033203125,139.49002075195312,235.81527709960938,149.45262145996094,0
´,9.962599754333496,0,0,235.12002563476562,136.97201538085938,240.101318359375,146.9346160888672,0
IN DI,9.962599754333496,0,0,235.81202697753906,139.49002075195312,261.40594482421875,149.45262145996094,0
´,9.962599754333496,0,0,262.3100280761719,136.97201538085938,267.29132080078125,146.9346160888672,0
EGUEZ,9.962599754333496,0,0,261.4110412597656,139.49002075195312,296.3598937988281,149.45262145996094,0
"University of Angers, France",7.970099925994873,0,0,196.2970428466797,150.94741821289062,304.1324462890625,158.91751098632812,0
FRANC¸OIS OLIVIER,9.962599754333496,0,0,201.4620361328125,168.38204956054688,300.400634765625,178.3446502685547,0
"CRIL CNRS & Artois University, France",7.970099925994873,0,0,172.8440399169922,179.83944702148438,328.0457763671875,187.80953979492188,0
TORSTEN SCHAUB,9.962599754333496,0,0,203.49603271484375,197.27407836914062,298.01123046875,207.23667907714844,0
"University of Potsdam, Germany",7.970099925994873,0,0,188.19503784179688,208.73046875,312.1539306640625,216.7005615234375,0
"Potassco Solutions, Germany",7.970099925994873,0,0,195.85304260253906,218.6934814453125,305.481689453125,226.66357421875,0
IGOR ST,9.962599754333496,0,0,211.66604614257812,236.12808227539062,254.21630859375,246.09068298339844,0
´,9.962599754333496,0,0,255.11505126953125,233.61007690429688,260.0963439941406,243.5726776123047,0
EPHAN,9.962599754333496,0,0,254.21505737304688,236.12808227539062,290.20001220703125,246.09068298339844,0
"University of Angers, France",7.970099925994873,0,0,196.29705810546875,247.58547973632812,304.1324462890625,255.55557250976562,0
Abstract,9.962599754333496,0,0,229.01100158691406,290.9620361328125,272.846435546875,300.9246520996094,0
high resolution within the ASP paradigm.,8.966400146484375,0,0,59.645999908447266,418.3731689453125,229.1020050048828,427.3395690917969,0
1 Introduction,9.962599754333496,0,0,213.6179962158203,450.989013671875,288.2278747558594,460.9516296386719,0
A radar is positioned at the 400 km,10.032095909118652,0,0,285.2409973144531,535.3130493164062,442.19708251953125,545.275634765625,0
speed limit and thus incur a fine.,9.937662124633789,0,0,59.117000579833984,587.1180419921875,202.2080535888672,597.0806274414062,0
and deceleration.,9.962599754333496,0,0,59.645999908447266,613.0210571289062,133.8374786376953,622.983642578125,0
arXiv:2507.13958v1  [cs.AI]  18 Jul 2025,20.0,0,0,10.940000534057617,182.28994750976562,37.619998931884766,517.8099975585938,0
2,9.962599754333496,0,0,50.58000183105469,30.20700454711914,55.561302185058594,40.16960525512695,1
THT,9.962599754333496,0,0,409.95599365234375,54.11703872680664,431.8139343261719,64.07963562011719,1
;,9.862470626831055,0,0,431.8179931640625,54.11703872680664,434.5224304199219,64.07963562011719,1
logic of Here-and-There with constraints (,10.002370834350586,0,0,50.58000183105469,80.02005767822266,235.6094207763672,89.98265075683594,1
HT,9.962599754333496,0,0,235.61199951171875,80.02005767822266,250.27694702148438,89.98265075683594,1
c,6.973800182342529,0,0,248.91900634765625,83.75567626953125,252.47564697265625,90.7294692993164,1
"; Cabalar et al. 2016), which allows us to",10.002370834350586,0,0,252.9770050048828,80.02005767822266,433.1659851074219,89.98265075683594,1
"linear temporal logic,",9.862470626831055,0,0,50.58000183105469,105.92301177978516,141.38893127441406,115.88560485839844,1
THT,9.962599754333496,0,0,141.38893127441406,105.92301177978516,166.4429473876953,115.88560485839844,1
"and its nonmonotonic equilibrium extension,",9.862470626831055,0,0,166.4429473876953,105.92301177978516,359.98358154296875,115.88560485839844,1
TEL,9.962599754333496,0,0,359.98358154296875,105.92301177978516,383.35516357421875,115.88560485839844,1
", enable the",9.862470626831055,0,0,383.3529968261719,105.92301177978516,433.1461486816406,115.88560485839844,1
inertia and default reasoning.,10.061732292175293,0,0,50.58000183105469,131.82601928710938,181.99310302734375,141.7886199951172,1
HT,9.962599754333496,0,0,181.99310302734375,131.82601928710938,200.22195434570312,141.7886199951172,1
c,6.973800182342529,0,0,198.864013671875,135.5616455078125,202.420654296875,142.5354461669922,1
complements this by allowing us to directly reason,10.061732292175293,0,0,202.420654296875,131.82601928710938,433.14483642578125,143.2826385498047,1
